id;tmt;urutan_masuk;ref_profesi;nip;
298;2022-04-01;425;151;22.04.425;
299;2022-04-01;427;151;22.04.427;
300;2021-10-01;393;152;21.10.393;
301;2021-10-01;394;152;21.10.394;
302;2022-04-01;435;152;22.04.435;
303;2022-04-01;434;152;22.04.434;
304;2022-01-01;401;152;22.01.401;
305;2022-03-01;424;151;22.03.424;
306;2021-09-01;388;151;21.09.388;
307;2021-04-01;382;151;21.04.382;
308;2022-06-01;438;151;22.06.438;
309;2021-09-01;387;152;21.09.387;
311;2022-01-01;402;152;22.01.402;
313;2022-04-01;428;152;22.04.428;
314;2022-04-01;430;152;22.04.430;
315;2022-05-01;431;152;22.05.431;
316;2022-04-01;429;152;22.04.429;
321;2022-05-01;413;150;22.05.413;
322;2022-05-01;412;150;22.05.412;
323;2022-07-01;440;150;22.07.440;
325;2021-09-01;390;152;21.09.390;
326;2022-12-01;455;151;22.12.455;
327;2022-10-01;447;151;22.10.447;
328;2023-02-01;463;151;23.02.463;
330;2023-03-01;465;152;23.03.465;
332;2022-11-01;452;151;22.11.452;
334;2023-02-01;459;150;23.02.459;
336;2022-12-01;448;150;22.12.448;
337;2022-12-01;449;150;22.12.449;
339;2023-02-01;465;150;23.02.465;
341;2022-01-01;439;150;22.01.439;
343;2023-03-01;468;151;23.03.468;
345;2023-04-01;470;151;23.04.470;
346;2023-04-01;471;151;23.04.471;
348;2023-04-01;473;151;23.04.473;
349;2023-06-01;474;150;23.06.474;
350;2021-02-01;357;151;21.02.357;
351;2023-07-01;476;152;23.07.476;
352;2023-07-01;477;152;23.07.477;
354;2023-07-01;482;150;23.07.482;
355;2023-07-01;478;150;23.07.478;
356;2023-07-01;481;150;23.07.481;
357;2023-07-01;479;150;23.07.479;
359;2023-07-01;484;150;23.07.484;
360;2023-08-01;485;150;23.08.485;
362;2022-11-01;451;152;22.11.451;
363;2023-10-01;494;150;23.10.494;
364;2023-09-01;490;150;23.09.490;
365;2023-11-01;498;150;23.11.498;
366;2023-11-01;500;150;23.11.500;
367;2023-12-01;505;150;23.12.505;
370;2024-05-01;516;150;24.05.516;
372;2023-11-01;499;150;23.11.499;
373;2023-07-01;481;150;23.07.481;
375;2023-08-01;485;150;23.08.485;
376;2024-01-01;507;152;24.01.507;
377;2024-01-01;508;152;24.01.508;
378;2024-01-01;510;152;24.01.510;
379;2024-05-01;518;152;24.05.518;
380;2024-05-01;512;150;24.05.512;
381;2024-05-01;513;150;24.05.513;
382;2024-05-01;521;150;24.05.521;
383;2024-05-01;522;150;24.05.522;
386;2024-05-01;517;150;24.05.517;
390;2024-01-01;509;151;24.01.509;
391;2021-08-01;372;152;21.08.372;
392;2024-04-01;512;152;24.04.512;
