"id";"ref_id";"user_id";"pegawai_id";"tgl_berlaku";"keterangan";"title";"filename";"valid";"tgl_valid";"status";"created_at";"updated_at";"deleted_at"
"1";"146";"244";"104";"2024-09-21";NULL;NULL;NULL;NULL;NULL;"1";"2024-09-21 10:39:51";"2024-09-24 10:34:51";NULL
"2";"147";"244";"4";"2024-09-24";NULL;NULL;NULL;NULL;NULL;"1";"2024-09-24 09:30:43";"2024-09-24 09:30:43";NULL
"3";"147";"244";"236";"2024-09-24";NULL;NULL;NULL;NULL;NULL;"1";"2024-09-24 09:32:13";"2024-09-24 09:32:13";NULL
"4";"146";"244";"104";"2024-09-24";NULL;NULL;NULL;NULL;NULL;"0";"2024-09-24 10:34:02";"2024-09-24 10:34:17";"2024-09-24 10:34:17"
"5";"145";"244";"171";"2024-09-24";NULL;NULL;NULL;NULL;NULL;"1";"2024-09-24 10:36:07";"2024-09-24 10:36:07";NULL
"6";"146";"232";"244";"2021-08-01";NULL;NULL;NULL;NULL;NULL;"1";"2024-11-25 13:58:45";"2024-11-25 13:58:45";NULL
